;Name;Set;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;IsCSO;IsOtherThing;IsInSupply;ImagePath
43;Great Hall;Intrigue, 1E;['Action', 'Victory'];$3;+1 Card+1 Action1VP;+1;+1;;;;;;;1VP;False;False;True;card_pictures/Intrigue_1E/Great_Hall.jpg
44;Masquerade;Intrigue;['Action'];$3;+2 CardsEach player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.;;+2;;;1?;;;;;False;False;True;card_pictures/Intrigue/Masquerade.jpg
45;Shanty Town;Intrigue;['Action'];$3;+2 ActionsReveal your hand. If you have no Action cards in hand, +2 Cards.;+2;+2?;;;;;;;;False;False;True;card_pictures/Intrigue/Shanty_Town.jpg
46;Steward;Intrigue;['Action'];$3;"Choose one: +2 Cards; or +$2; or trash 2 cards from your hand.";;+2?;;+$2?;2?;;;;;False;False;True;card_pictures/Intrigue/Steward.jpg
47;Swindler;Intrigue;['Action', 'Attack'];$3;+$2Each other player trashes the top card of their deck and gains a card with the same cost that you choose.;;;;+$2;;;;;;False;False;True;card_pictures/Intrigue/Swindler.jpg
48;Wishing Well;Intrigue;['Action'];$3;+1 Card+1 ActionName a card, then reveal the top card of your deck. If you named it, put it into your hand.;+1;+1-2;;;;;;;;False;False;True;card_pictures/Intrigue/Wishing_Well.jpg
49;Baron;Intrigue;['Action'];$4;+1 BuyYou may discard an Estate for +$4. If you don't, gain an Estate.;;;+1;+$4?;;;;1?;;False;False;True;card_pictures/Intrigue/Baron.jpg
50;Bridge;Intrigue;['Action'];$4;+1 Buy+$1This turn, cards (everywhere) cost $1 less, but not less than $0.;;;+1;+$1, R1;;;;;;False;False;True;card_pictures/Intrigue/Bridge.jpg
51;Conspirator;Intrigue;['Action'];$4;+$2If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.;+1?;+1?;;+$2;;;;;;False;False;True;card_pictures/Intrigue/Conspirator.jpg
52;Coppersmith;Intrigue, 1E;['Action'];$4;Copper produces an extra $1 this turn.;;;;+$x;;;;;;False;False;True;card_pictures/Intrigue_1E/Coppersmith.jpg
53;Diplomat;Intrigue, 2E;['Action', 'Reaction'];$4;+2 CardsIf you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.;+2?;+2;;;;;;;;False;False;True;card_pictures/Intrigue_2E/Diplomat.jpg
54;Ironworks;Intrigue;['Action'];$4;Gain a card costing up to $4. If the gained card is an…Action card, +1 ActionTreasure card, +$1Victory card, +1 Card;+1?;+1?;;+$1?;;;;1;;False;False;True;card_pictures/Intrigue/Ironworks.jpg
55;Mill;Intrigue, 2E;['Action', 'Victory'];$4;+1 Card+1 ActionYou may discard 2 cards, for +$21VP;+1;+1,-1?,-1?;;+$2?;;;;;1VP;False;False;True;card_pictures/Intrigue_2E/Mill.jpg
56;Mining Village;Intrigue;['Action'];$4;+1 Card+2 ActionsYou may trash this for +$2.;+2;+1;;+$2?;Self?;;;;;False;False;True;card_pictures/Intrigue/Mining_Village.jpg
57;Scout;Intrigue, 1E;['Action'];$4;+1 ActionReveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.;+1;+0-4;;;;;;;;False;False;True;card_pictures/Intrigue_1E/Scout.jpg
58;Secret Passage;Intrigue, 2E;['Action'];$4;+2 Cards+1 ActionTake a card from your hand and put it anywhere in your deck.;+1;+2,-1;;;;;;;;False;False;True;card_pictures/Intrigue_2E/Secret_Passage.jpg
59;Courtier;Intrigue, 2E;['Action'];$5;"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +$3; or gain a Gold. The choices must be different.";+1?;;+1?;+$3?;;;;1?;;False;False;True;card_pictures/Intrigue_2E/Courtier.jpg
60;Duke;Intrigue;['Victory'];$5;Worth 1VP per Duchy you have.;;;;;;;;;XVP;False;False;True;card_pictures/Intrigue/Duke.jpg
61;Minion;Intrigue;['Action', 'Attack'];$5;"+1 ActionChoose one: +$2; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.";+1;-X?,+4?;;+$2?;;;;;;False;False;True;card_pictures/Intrigue/Minion.jpg
62;Patrol;Intrigue, 2E;['Action'];$5;+3 CardsReveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.;;+3-7;;;;;;;;False;False;True;card_pictures/Intrigue_2E/Patrol.jpg
63;Replace;Intrigue, 2E;['Action', 'Attack'];$5;"Trash a card from your hand. Gain a card costing up to $2 more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.";;;;;1;;1?;1;;False;False;True;card_pictures/Intrigue_2E/Replace.jpg
64;Saboteur;Intrigue, 1E;['Action', 'Attack'];$5;Each other player reveals cards from the top of his deck until revealing one costing $3 or more. He trashes that card and may gain a card costing at most $2 less than it. He discards the other revealed cards.;;;;;;;;;;False;False;True;card_pictures/Intrigue_1E/Saboteur.jpg
65;Torturer;Intrigue;['Action', 'Attack'];$5;+3 CardsEach other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.);;+3;;;;;1?;;;False;False;True;card_pictures/Intrigue/Torturer.jpg
66;Trading Post;Intrigue;['Action'];$5;Trash 2 cards from your hand. If you did, gain a Silver to your hand.;;;;;2;;;1;;False;False;True;card_pictures/Intrigue/Trading_Post.jpg
67;Tribute;Intrigue, 1E;['Action'];$5;The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an…Action Card, +2 ActionsTreasure Card, +$2Victory Card, +2 Cards.;+2Z?;+2Y?;;+$x?;;;;;;False;False;True;card_pictures/Intrigue_1E/Tribute.jpg
68;Upgrade;Intrigue;['Action'];$5;+1 Card+1 ActionTrash a card from your hand. Gain a card costing exactly $1 more than it.;+1;+1;;;1;;;1;;False;False;True;card_pictures/Intrigue/Upgrade.jpg
69;Harem;Intrigue;['Treasure', 'Victory'];$6;$22VP;;;;+$2;;;;;2VP;False;False;True;card_pictures/Intrigue/Harem.jpg
70;Nobles;Intrigue;['Action', 'Victory'];$6;"Choose one: +3 Cards; or +2 Actions.2VP";+2?;+3?;;;;;;;2VP;False;False;True;card_pictures/Intrigue/Nobles.jpg
71;Embargo;Seaside;['Action'];$2;+$2Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.);;;;+$2;Self;;**1?;;;False;False;True;card_pictures/Seaside/Embargo.jpg
72;Haven;Seaside;['Action', 'Duration'];$2;+1 Card+1 ActionSet aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.;+1;+1, -1, N+1;;;;;;;;False;False;True;card_pictures/Seaside/Haven.jpg
73;Lighthouse;Seaside;['Action', 'Duration'];$2;+1 ActionNow and at the start of your next turn: +$1.While you have this in play, when another player plays an Attack card, it doesn’t affect you.;+1;;;+$1, N +$1;;;;;;False;False;True;card_pictures/Seaside/Lighthouse.jpg
74;Native Village;Seaside;['Action'];$2;"+2 ActionsChoose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.";+2;+X?;;;;;;;;False;False;True;card_pictures/Seaside/Native_Village.jpg
75;Pearl Diver;Seaside;['Action'];$2;+1 Card+1 ActionLook at the bottom card of your deck. You may put it on top.;+1;+1;;;;;;;;False;False;True;card_pictures/Seaside/Pearl_Diver.jpg
76;Ambassador;Seaside;['Action', 'Attack'];$3;Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.;;;;;0-2;;1;;;False;False;True;card_pictures/Seaside/Ambassador.jpg
77;Fishing Village;Seaside;['Action', 'Duration'];$3;+2 Actions+$1At the start of your next turn: +1 Action and +$1.;+2, N +1;;;+$1, N +$1;;;;;;False;False;True;card_pictures/Seaside/Fishing_Village.jpg
78;Lookout;Seaside;['Action'];$3;+1 ActionLook at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.;+1;;;;1;;;;;False;False;True;card_pictures/Seaside/Lookout.jpg
79;Smugglers;Seaside;['Action'];$3;Gain a copy of a card costing up to $6 that the player to your right gained on their last turn.;;;;;;;;1;;False;False;True;card_pictures/Seaside/Smugglers.jpg
80;Warehouse;Seaside;['Action'];$3;+3 Cards+1 ActionDiscard 3 cards.;+1;+3,-3;;;;;;;;False;False;True;card_pictures/Seaside/Warehouse.jpg
81;Caravan;Seaside;['Action', 'Duration'];$4;+1 Card+1 ActionAt the start of your next turn, +1 Card.;+1;+1, N+1;;;;;;;;False;False;True;card_pictures/Seaside/Caravan.jpg
82;Cutpurse;Seaside;['Action', 'Attack'];$4;+$2Each other player discards a Copper (or reveals a hand with no Copper).;;;;+$2;;;;;;False;False;True;card_pictures/Seaside/Cutpurse.jpg
83;Island;Seaside;['Action', 'Victory'];$4;Put this and a card from your hand onto your Island mat.2VP;;;;;1,Self;;;;2VP;False;False;True;card_pictures/Seaside/Island.jpg
84;Navigator;Seaside;['Action'];$4;+$2Look at the top 5 cards of your deck. Either discard them all, or put them back in any order.;;;;+$2;;;;;;False;False;True;card_pictures/Seaside/Navigator.jpg
85;Pirate Ship;Seaside;['Action', 'Attack'];$4;"Choose one: +$1 per Coin token on your Pirate Ship mat; or each other player reveals the top 2 cards of their deck, trashes one of those Treasures that you choose, and discards the rest, and then if anyone trashed a Treasure you add a Coin token to your Pirate Ship mat.";;;;+$x?;;;;;;False;False;True;card_pictures/Seaside/Pirate_Ship.jpg
86;Salvager;Seaside;['Action'];$4;+1 BuyTrash a card from your hand. +$1 per $1 it costs.;;;+1;+$x;1;;;;;False;False;True;card_pictures/Seaside/Salvager.jpg
87;Sea Hag;Seaside;['Action', 'Attack'];$4;Each other player discards the top card of their deck, then gains a Curse onto their deck.;;;;;;;1;;;False;False;True;card_pictures/Seaside/Sea_Hag.jpg
88;Treasure Map;Seaside;['Action'];$4;Trash this and a Treasure Map from your hand. If you trashed two Treasure Maps, gain 4 Golds onto your deck.;;;;;1?, Self;;;4?;;False;False;True;card_pictures/Seaside/Treasure_Map.jpg
89;Bazaar;Seaside;['Action'];$5;+1 Card+2 Actions+$1;+2;+1;;+$1;;;;;;False;False;True;card_pictures/Seaside/Bazaar.jpg
90;Explorer;Seaside;['Action'];$5;You may reveal a Province from your hand. If you do, gain a Gold to your hand. If you don't, gain a Silver to your hand.;;;;;;;;1;;False;False;True;card_pictures/Seaside/Explorer.jpg
91;Ghost Ship;Seaside;['Action', 'Attack'];$5;+2 CardsEach other player with 4 or more cards in hand puts cards from their hand onto their deck until they have 3 cards in hand.;;+2;;;;;;;;False;False;True;card_pictures/Seaside/Ghost_Ship.jpg
92;Merchant Ship;Seaside;['Action', 'Duration'];$5;Now and at the start of your next turn: +$2.;;;;+$2, N +$2;;;;;;False;False;True;card_pictures/Seaside/Merchant_Ship.jpg
93;Outpost;Seaside;['Action', 'Duration'];$5;If this is the first time you played an Outpost this turn, and the previous turn wasn't yours, then take an extra turn after this one, and you only draw 3 cards for your next hand.;;;;;;;;;;False;False;True;card_pictures/Seaside/Outpost.jpg
94;Tactician;Seaside;['Action', 'Duration'];$5;If you have at least one card in hand, discard your hand, and at the start of your next turn, +5 Cards, +1 Action, and +1 Buy.;N +1?;-X, N +5?;N +1?;;;;;;;False;False;True;card_pictures/Seaside/Tactician.jpg
95;Treasury;Seaside;['Action'];$5;+1 Card+1 Action+$1When you discard this from play, if you didn’t buy a Victory card this turn, you may put this onto your deck.;+1;+1;;+$1;;;;;;False;False;True;card_pictures/Seaside/Treasury.jpg
96;Wharf;Seaside;['Action', 'Duration'];$5;Now and at the start of your next turn: +2 Cards and +1 Buy.;;+2, N +2;+1, N+1;;;;;;;False;False;True;card_pictures/Seaside/Wharf.jpg
97;Transmute;Alchemy;['Action'];P;Trash a card from your hand. If it is an…Action card, gain a DuchyTreasure card, gain a TransmuteVictory card, gain a Gold;;;;;1;;;1;;False;False;True;card_pictures/Alchemy/Transmute.jpg
98;Vineyard;Alchemy;['Victory'];P;Worth 1VP per 3 Action cards you have (round down).;;;;;;;;;XVP;False;False;True;card_pictures/Alchemy/Vineyard.jpg
99;Herbalist;Alchemy;['Action'];$2;+1 Buy+$1When you discard this from play, you may put one of your Treasures from play onto your deck.;;;+1;+$1;;;;;;False;False;True;card_pictures/Alchemy/Herbalist.jpg
100;Apothecary;Alchemy;['Action'];$2P;+1 Card+1 ActionReveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.;+1;+1-5;;;;;;;;False;False;True;card_pictures/Alchemy/Apothecary.jpg
101;Scrying Pool;Alchemy;['Action', 'Attack'];$2P;+1 ActionEach player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn’t an Action. Put all of those revealed cards into your hand.;+1;+X;;;;;;;;False;False;True;card_pictures/Alchemy/Scrying_Pool.jpg
102;University;Alchemy;['Action'];$2P;+2 ActionsYou may gain an Action card costing up to $5.;+2;;;;;;;1;;False;False;True;card_pictures/Alchemy/University.jpg
103;Alchemist;Alchemy;['Action'];$3P;+2 Cards+1 ActionWhen you discard this from play, if you have a Potion in play, you may put this onto your deck.;+1;+2;;;;;;;;False;False;True;card_pictures/Alchemy/Alchemist.jpg
104;Familiar;Alchemy;['Action', 'Attack'];$3P;+1 Card+1 ActionEach other player gains a Curse.;+1;+1;;;;;1;;;False;False;True;card_pictures/Alchemy/Familiar.jpg
105;Philosopher's Stone;Alchemy;['Treasure'];$3P;When you play this, count your deck and discard pile. Worth $1 per 5 cards total between them (round down).;;;;+$x;;;;;;False;False;True;card_pictures/Alchemy/Philosopher's_Stone.jpg
106;Golem;Alchemy;['Action'];$4P;Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.;P1, P1;;;;;;;;;False;False;True;card_pictures/Alchemy/Golem.jpg
107;Apprentice;Alchemy;['Action'];$5;+1 ActionTrash a card from your hand. +1 Card per $1 it costs. +2 Cards if it has P in its cost.;+1;+X;;;1;;;;;False;False;True;card_pictures/Alchemy/Apprentice.jpg
108;Possession;Alchemy;['Action'];$6P;"The player to your left takes an extra turn after this one, in which you can see all cards they can and make all decisions for them. Any cards or they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn.";;;;;;;;X;;False;False;True;card_pictures/Alchemy/Possession.jpg
109;Potion;Alchemy;['Treasure'];$4;P;;;;+P;;;;;;False;False;True;card_pictures/Alchemy/Potion.jpg
110;Loan;Prosperity;['Treasure'];$3;$1Reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.;;;;+$1;1?;;;;;False;False;True;card_pictures/Prosperity/Loan.jpg
111;Trade Route;Prosperity;['Action'];$3;"+1 BuyTrash a card from your hand. +$1 per Coin token on the Trade Route mat.Setup: Add a Coin token to each Victory Supply pile; move that token to the Trade Route mat when a card is gained from that pile.";;;+1;+$x;1;;;;;False;False;True;card_pictures/Prosperity/Trade_Route.jpg
112;Watchtower;Prosperity;['Action', 'Reaction'];$3;Draw until you have 6 cards in hand.When you gain a card, you may reveal this from your hand, to either trash that card or put it onto your deck.;;+X;;;;;;;;False;False;True;card_pictures/Prosperity/Watchtower.jpg
113;Bishop;Prosperity;['Action'];$4;+$1+1VPTrash a card from your hand. +1VP per $2 it costs (round down). Each other player may trash a card from their hand.;;;;+$1;1;;;;+XVP;False;False;True;card_pictures/Prosperity/Bishop.jpg
114;Monument;Prosperity;['Action'];$4;+$2+1VP;;;;+$2;;;;;+1VP;False;False;True;card_pictures/Prosperity/Monument.jpg
115;Quarry;Prosperity;['Treasure'];$4;$1While this is in play, Action cards cost $2 less.;;;;+$1;;;;;;False;False;True;card_pictures/Prosperity/Quarry.jpg
116;Talisman;Prosperity;['Treasure'];$4;$1While you have this in play, when you buy a non-Victory card costing $4 or less, gain a copy of it.;;;;+$1;;;;1?;;False;False;True;card_pictures/Prosperity/Talisman.jpg
117;Worker's Village;Prosperity;['Action'];$4;+1 Card+2 Actions+1 Buy;+2;+1;+1;;;;;;;False;False;True;card_pictures/Prosperity/Worker's_Village.jpg
118;City;Prosperity;['Action'];$5;+1 Card+2 ActionsIf there are one or more empty Supply piles, +1 Card. If there are two or more, +1 Buy and +$1;+2;+1-2;+1?;+$1?;;;;;;False;False;True;card_pictures/Prosperity/City.jpg
119;Contraband;Prosperity;['Treasure'];$5;$3+1 BuyThe player to your left names a card. You can’t buy that card this turn.;;;+1;+$3;;;;;;False;False;True;card_pictures/Prosperity/Contraband.jpg
120;Counting House;Prosperity;['Action'];$5;Look through your discard pile, reveal any number of Coppers from it, and put them into your hand.;;+X;;;;;;;;False;False;True;card_pictures/Prosperity/Counting_House.jpg
121;Mint;Prosperity;['Action'];$5;You may reveal a Treasure card from your hand. Gain a copy of it.When you buy this, trash all Treasures you have in play.;;;;;*X;;;1;;False;False;True;card_pictures/Prosperity/Mint.jpg
122;Mountebank;Prosperity;['Action', 'Attack'];$5;+$2Each other player may discard a Curse. If they don’t, they gain a Curse and a Copper.;;;;+$2;;;2?;;;False;False;True;card_pictures/Prosperity/Mountebank.jpg
123;Rabble;Prosperity;['Action', 'Attack'];$5;+3 CardsEach other player reveals the top 3 cards of their deck, discards the revealed Actions and Treasures, and puts the rest back in any order they choose.;;+3;;;;;;;;False;False;True;card_pictures/Prosperity/Rabble.jpg
124;Royal Seal;Prosperity;['Treasure'];$5;$2While you have this in play, when you gain a card, you may put that card onto your deck.;;;;+$2;;;;;;False;False;True;card_pictures/Prosperity/Royal_Seal.jpg
125;Vault;Prosperity;['Action'];$5;+2 CardsDiscard any number of cards for +$1 each. Each other player may discard 2 cards, to draw a card.;;+2,-X;;+$x;;;;;;False;False;True;card_pictures/Prosperity/Vault.jpg
126;Venture;Prosperity;['Treasure'];$5;$1Reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.;;;;+$1;;;;;;False;False;True;card_pictures/Prosperity/Venture.jpg
127;Goons;Prosperity;['Action', 'Attack'];$6;+1 Buy+$2Each other player discards down to 3 cards in hand.While you have this in play, when you buy a card, +1VP.;;;+1;+$2;;;;;+XVP;False;False;True;card_pictures/Prosperity/Goons.jpg
128;Grand Market;Prosperity;['Action'];$6*;+1 Card+1 Action+1 Buy+$2.You can’t buy this if you have any Coppers in play.;+1;+1;+1;+$2;;;;;;False;False;True;card_pictures/Prosperity/Grand_Market.jpg
129;Hoard;Prosperity;['Treasure'];$6;$2While you have this in play, when you buy a Victory card, gain a Gold.;;;;+$2;;;;X?;;False;False;True;card_pictures/Prosperity/Hoard.jpg
130;Bank;Prosperity;['Treasure'];$7;+$1 per Treasure card you have in play (counting this).;;;;+$x;;;;;;False;False;True;card_pictures/Prosperity/Bank.jpg
131;Expand;Prosperity;['Action'];$7;Trash a card from your hand. Gain a card costing up to $3 more than it.;;;;;1;;;1;;False;False;True;card_pictures/Prosperity/Expand.jpg
132;Forge;Prosperity;['Action'];$7;Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in $ of the trashed cards.;;;;;X;;;1;;False;False;True;card_pictures/Prosperity/Forge.jpg
133;King's Court;Prosperity;['Action'];$7;You may play an Action card from your hand three times.;P3;;;;;;;;;False;False;True;card_pictures/Prosperity/King's_Court.jpg
134;Peddler;Prosperity;['Action'];$8*;+1 Card+1 Action+$1During a player's Buy phase, this costs $2 less per Action card they have in play.;+1;+1;;+$1;;;;;;False;False;True;card_pictures/Prosperity/Peddler.jpg
135;Platinum;Prosperity;['Treasure'];$9;$5;;;;+$5;;;;;;False;False;False;card_pictures/Prosperity/Platinum.jpg
136;Colony;Prosperity;['Victory'];$11;10VP;;;;;;;;;10VP;False;False;False;card_pictures/Prosperity/Colony.jpg
137;Hamlet;Cornucopia;['Action'];$2;+1 Card+1 ActionYou may discard a card for +1 Action. You may discard a card for +1 Buy.;+1-2;+1, -2?;+1?;;;;;;;False;False;True;card_pictures/Cornucopia/Hamlet.jpg
138;Fortune Teller;Cornucopia;['Action', 'Attack'];$3;+$2Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.;;;;+$2;;;;;;False;False;True;card_pictures/Cornucopia/Fortune_Teller.jpg
