Name;Expansion;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;ImagePath
Moneylender;Base;Action;$4;You may trash a Copper from your hand for +$3.;;;;!+$3;1?;;;;;Base/Moneylender.jpg
Poacher;Base, 2E;Action;$4;+1 Card +1 Action +$1 Discard a card per empty Supply pile.;+1;+1, -X;;+$1;;;;;;Base_2E/Poacher.jpg
Remodel;Base;Action;$4;Trash a card from your hand. Gain a card costing up to $2 more than it.;;;;;1;;;!1;;Base/Remodel.jpg
Smithy;Base;Action;$4;+3 Cards;;+3;;;;;;;;Base/Smithy.jpg
Spy;Base, 1E;Action - Attack;$4;+1 Card +1 Action Each player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.;+1;+1;;;;;;;;Base_1E/Spy.jpg
Thief;Base, 1E;Action - Attack;$4;Each other player reveals the top 2 cards of his deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.;;;;;;;;X;;Base_1E/Thief.jpg
Throne Room;Base;Action;$4;You may play an Action card from your hand twice.;P2?;;;;;;;;;Base/Throne_Room.jpg
Bandit;Base, 2E;Action - Attack;$5;Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.;;;;;;;;1;;Base_2E/Bandit.jpg
Council Room;Base;Action;$5;+4 Cards +1 Buy Each other player draws a card.;;+4;+1;;;;;;;Base/Council_Room.jpg
Festival;Base;Action;$5;+2 Actions +1 Buy +$2;+2;;+1;+$2;;;;;;Base/Festival.jpg
Laboratory;Base;Action;$5;+2 Cards +1 Action;+1;+2;;;;;;;;Base/Laboratory.jpg
Library;Base;Action;$5;"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.";;=7;;;;;;;;Base/Library.jpg
Market;Base;Action;$5;+1 Card +1 Action +1 Buy +$1;+1;+1;+1;+$1;;;;;;Base/Market.jpg
Mine;Base;Action;$5;You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to $3 more than it.;;!(+1);;;1?;;;!1;;Base/Mine.jpg
Sentry;Base, 2E;Action;$5;+1 Card +1 Action Look at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.;+1;+1;;;0-2?;;;;;Base_2E/Sentry.jpg
Witch;Base;Action - Attack;$5;+2 Cards Each other player gains a Curse.;;+2;;;;;1;;;Base/Witch.jpg
Adventurer;Base, 1E;Action;$6;Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.;;+2;;;;;;;;Base_1E/Adventurer.jpg
Artisan;Base, 2E;Action;$6;Gain a card to your hand costing up to $5. Put a card from your hand onto your deck.;;(+1), -1;;;;;;1;;Base_2E/Artisan.jpg
Copper;Base;Treasure;$0;$1;;;;+$1;;;;;;Base/Copper.jpg
Silver;Base;Treasure;$3;$2;;;;+$2;;;;;;Base/Silver.jpg
Gold;Base;Treasure;$6;$3;;;;+$3;;;;;;Base/Gold.jpg
Estate;Base;Victory;$2;1;;;;;;;;;1;Base/Estate.jpg
Duchy;Base;Victory;$5;3;;;;;;;;;3;Base/Duchy.jpg
Province;Base;Victory;$8;6;;;;;;;;;6;Base/Province.jpg
Curse;Base;Curse;$0;–1;;;;;;;;;-1;Base/Curse.jpg
Courtyard;Intrigue;Action;$2;+3 Cards Put a card from your hand onto your deck.;;+3, -1;;;;;;;;Intrigue/Courtyard.jpg
Lurker;Intrigue, 2E;Action;$2;"+1 Action Choose one: Trash an Action card from the Supply; or gain an Action card from the trash.";+1;;;;1 Supply?;;;1?;;Intrigue_2E/Lurker.jpg
Pawn;Intrigue;Action;$2;"Choose two: +1 Card; +1 Action; +1 Buy; +$1. The choices must be different.";+1?;+1?;+1?;+$1?;;;;;;Intrigue/Pawn.jpg
Secret Chamber;Intrigue, 1E;Action - Reaction;$2;Discard any number of cards. +$1 per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.;;-X;;+$X;;;;;;Intrigue_1E/Secret_Chamber.jpg
Great Hall;Intrigue, 1E;Action - Victory;$3;+1 Card +1 Action1;+1;+1;;;;;;;1;Intrigue_1E/Great_Hall.jpg
Masquerade;Intrigue;Action;$3;+2 Cards Each player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.;;+2, -1;;;1?;;1?, !Self;1;;Intrigue/Masquerade.jpg
Shanty Town;Intrigue;Action;$3;+2 Actions Reveal your hand. If you have no Action cards in hand, +2 Cards.;+2;+2?;;;;;;;;Intrigue/Shanty_Town.jpg
Steward;Intrigue;Action;$3;"Choose one: +2 Cards; or +$2; or trash 2 cards from your hand.";;+2?;;+$2?;2?;;;;;Intrigue/Steward.jpg
Swindler;Intrigue;Action - Attack;$3;+$2 Each other player trashes the top card of their deck and gains a card with the same cost that you choose.;;;;+$2;;;!1;;;Intrigue/Swindler.jpg
Wishing Well;Intrigue;Action;$3;+1 Card +1 Action Name a card, then reveal the top card of your deck. If you named it, put it into your hand.;+1;+1, !+1;;;;;;;;Intrigue/Wishing_Well.jpg
Baron;Intrigue;Action;$4;+1 Buy You may discard an Estate for +$4. If you don't, gain an Estate.;;-1?;+1;!+$4;;;;!1;;Intrigue/Baron.jpg
Bridge;Intrigue;Action;$4;+1 Buy +$1 This turn, cards (everywhere) cost $1 less.;;;+1;+$1, R1;;;;;;Intrigue/Bridge.jpg
Conspirator;Intrigue;Action;$4;+$2 If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.;!+1;!+1;;+$2;;;;;;Intrigue/Conspirator.jpg
Coppersmith;Intrigue, 1E;Action;$4;Copper produces an extra $1 this turn.;;;;+$X;;;;;;Intrigue_1E/Coppersmith.jpg
Diplomat;Intrigue, 2E;Action - Reaction;$4;+2 Cards If you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.;!+2;+2 **+2, **-3;;;;;;;;Intrigue_2E/Diplomat.jpg
Ironworks;Intrigue;Action;$4;Gain a card costing up to $4. If the gained card is an... Action card, +1 Action Treasure card, +$1 Victory card, +1 Card;!+1;!+1;;!+$1;;;;1;;Intrigue/Ironworks.jpg
Mill;Intrigue, 2E;Action - Victory;$4;+1 Card +1 Action You may discard 2 cards, for +$2.1;+1;+1, - 0-2?(X);;!+$X;;;;;1;Intrigue_2E/Mill.jpg
Mining Village;Intrigue;Action;$4;+1 Card +2 Actions You may trash this for +$2.;+2;+1;;!+$2;Self?;;;;;Intrigue/Mining_Village.jpg
Scout;Intrigue, 1E;Action;$4;+1 Action Reveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.;+1;+ 0-4;;;;;;;;Intrigue_1E/Scout.jpg
Secret Passage;Intrigue, 2E;Action;$4;+2 Cards +1 Action Take a card from your hand and put it anywhere in your deck.;+1;+2, -1;;;;;;;;Intrigue_2E/Secret_Passage.jpg
Courtier;Intrigue, 2E;Action;$5;"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +$3; or gain a Gold. The choices must be different.";+1?;;+1?;+$3?;;;;1?;;Intrigue_2E/Courtier.jpg
Duke;Intrigue;Victory;$5;Worth 1 per Duchy you have.;;;;;;;;;X;Intrigue/Duke.jpg
Minion;Intrigue;Action - Attack;$5;"+1 Action Choose one: +$2; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.";+1;-X +4 ?;;+$2?;;;;;;Intrigue/Minion.jpg
Patrol;Intrigue, 2E;Action;$5;+3 Cards Reveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.;;+ 3-7;;;;;;;;Intrigue_2E/Patrol.jpg
Replace;Intrigue, 2E;Action - Attack;$5;"Trash a card from your hand. Gain a card costing up to $2 more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.";;;;;1;;!1;1;;Intrigue_2E/Replace.jpg
Saboteur;Intrigue, 1E;Action - Attack;$5;Each other player reveals cards from the top of their deck until revealing one costing $3 or more. They trash that card and may gain a card costing at most $2 less than it. They discard the other revealed cards.;;;;;;;!1;;;Intrigue_1E/Saboteur.jpg
Torturer;Intrigue;Action - Attack;$5;+3 Cards Each other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.);;+3;;;;;1?;;;Intrigue/Torturer.jpg
Trading Post;Intrigue;Action;$5;Trash 2 cards from your hand. If you did, gain a Silver to your hand.;;!(+1);;;2;;;!1;;Intrigue/Trading_Post.jpg
Tribute;Intrigue, 1E;Action;$5;The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an... Action Card, +2 Actions Treasure Card, +$2 Victory Card, +2 Cards;+2Z;+2Y;;+$X;;;;;;Intrigue_1E/Tribute.jpg
Upgrade;Intrigue;Action;$5;+1 Card +1 Action Trash a card from your hand. Gain a card costing exactly $1 more than it.;+1;+1;;;1;;;1;;Intrigue/Upgrade.jpg
Harem Farm;Intrigue;Treasure - Victory;$6;$22;;;;+$2;;;;;2;Intrigue/Harem_Farm.jpg
Nobles;Intrigue;Action - Victory;$6;"Choose one: +3 Cards; or +2 Actions.2";+2?;+3?;;;;;;;2;Intrigue/Nobles.jpg
Embargo;Seaside, 1E;Action;$2;+$2 Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.);;;;+$2;Self;;**1?;;;Seaside_1E/Embargo.jpg
Haven;Seaside;Action - Duration;$2;+1 Card +1 Action Set aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.;+1;+1, -1, N +1;;;;;;;;Seaside/Haven.jpg
Lighthouse;Seaside;Action - Duration;$2;+1 Action +$1 At the start of your next turn, +$1. Until then, when another player plays an Attack card, it doesn't affect you.;+1;;;+$1, N +$1;;;;;;Seaside/Lighthouse.jpg
Native Village;Seaside;Action;$2;"+2 Actions Choose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.";+2;+X?;;;;;;;;Seaside/Native_Village.jpg
Pearl Diver;Seaside, 1E;Action;$2;+1 Card +1 Action Look at the bottom card of your deck. You may put it on top.;+1;+1;;;;;;;;Seaside_1E/Pearl_Diver.jpg
Ambassador;Seaside, 1E;Action - Attack;$3;Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.;;;;;0-2?;;!1;;;Seaside_1E/Ambassador.jpg
Astrolabe;Seaside, 2E;Treasure - Duration;$3;Now and at the start of your next turn: $1 +1 Buy;;;+1, N +1;+$1, N +$1;;;;;;Seaside_2E/Astrolabe.jpg
Fishing Village;Seaside;Action - Duration;$3;+2 Actions +$1 At the start of your next turn: +1 Action and +$1.;+2, N +1;;;+$1, N +$1;;;;;;Seaside/Fishing_Village.jpg
Lookout;Seaside;Action;$3;+1 Action Look at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.;+1;;;;1;;;;;Seaside/Lookout.jpg
Monkey;Seaside, 2E;Action - Duration;$3;Until your next turn, when the player to your right gains a card, +1 Card. At the start of your next turn, +1 Card.;;**+1, N +1;;;;;;;;Seaside_2E/Monkey.jpg
Sea Chart;Seaside, 2E;Action;$3;+1 Card +1 Action Reveal the top card of your deck. If you have a copy of it in play, put it into your hand.;+1;+1, !+1;;;;;;;;Seaside_2E/Sea_Chart.jpg
Smugglers;Seaside;Action;$3;Gain a copy of a card costing up to $6 that the player to your right gained on their last turn.;;;;;;;;1;;Seaside/Smugglers.jpg
Warehouse;Seaside;Action;$3;+3 Cards +1 Action Discard 3 cards.;+1;+3, -3;;;;;;;;Seaside/Warehouse.jpg
Blockade;Seaside, 2E;Action - Duration - Attack;$4;Gain a card costing up to $4, setting it aside. At the start of your next turn, put it into your hand. While it's set aside, when another player gains a copy of it on their turn, they gain a Curse.;;N +1;;;;;**1?;1;;Seaside_2E/Blockade.jpg
Caravan;Seaside;Action - Duration;$4;+1 Card +1 Action At the start of your next turn, +1 Card.;+1;+1, N +1;;;;;;;;Seaside/Caravan.jpg
Cutpurse;Seaside;Action - Attack;$4;+$2 Each other player discards a Copper (or reveals a hand with no Copper).;;;;+$2;;;;;;Seaside/Cutpurse.jpg
Island;Seaside;Action - Victory;$4;Put this and a card from your hand onto your Island mat.2;;;;;1, Self;;;;2;Seaside/Island.jpg
Navigator;Seaside, 1E;Action;$4;+$2 Look at the top 5 cards of your deck. Either discard them all, or put them back in any order.;;;;+$2;;;;;;Seaside_1E/Navigator.jpg
Pirate Ship;Seaside, 1E;Action - Attack;$4;"Choose one: +$1 per Coin token on your Pirate Ship mat; or each other player reveals the top 2 cards of their deck, trashes one of those Treasures that you choose, and discards the rest, and then if anyone trashed a Treasure you add a Coin token to your Pirate Ship mat.";;;;+$X?;;;;;;Seaside_1E/Pirate_Ship.jpg
Sailor;Seaside, 2E;Action - Duration;$4;+1 Action Once this turn, when you gain a Duration card, you may play it. At the start of your next turn, +$2 and you may trash a card from your hand.;+1, !P1?;;;N +$2;N 1?;;;;;Seaside_2E/Sailor.jpg
Salvager;Seaside;Action;$4;+1 Buy Trash a card from your hand. +$1 per $1 it costs.;;;+1;+$X;1;;;;;Seaside/Salvager.jpg
Sea Hag;Seaside, 1E;Action - Attack;$4;Each other player discards the top card of their deck, then gains a Curse onto their deck.;;;;;;;1;;;Seaside_1E/Sea_Hag.jpg
Tide Pools;Seaside, 2E;Action - Duration;$4;+3 Cards +1 Action At the start of your next turn, discard 2 cards.;+1;+3, N -2;;;;;;;;Seaside_2E/Tide_Pools.jpg
Treasure Map;Seaside;Action;$4;Trash this and a Treasure Map from your hand. If you trashed two Treasure Maps, gain 4 Golds onto your deck.;;;;;1?, Self;;;!4;;Seaside/Treasure_Map.jpg
Bazaar;Seaside;Action;$5;+1 Card +2 Actions +$1;+2;+1;;+$1;;;;;;Seaside/Bazaar.jpg
Corsair;Seaside, 2E;Action - Duration - Attack;$5;+$2 At the start of your next turn, +1 Card. Until then, each other player trashes the first Silver or Gold they play each turn.;;N +1;;+$2;;;;;;Seaside_2E/Corsair.jpg
Explorer;Seaside, 1E;Action;$5;You may reveal a Province from your hand. If you do, gain a Gold to your hand. If you don't, gain a Silver to your hand.;;!(+1);;;;;;!1;;Seaside_1E/Explorer.jpg
Ghost Ship;Seaside, 1E;Action - Attack;$5;+2 Cards Each other player with 4 or more cards in hand puts cards from their hand onto their deck until they have 3 cards in hand.;;+2;;;;;;;;Seaside_1E/Ghost_Ship.jpg
Merchant Ship;Seaside;Action - Duration;$5;Now and at the start of your next turn: +$2.;;;;+$2, N +$2;;;;;;Seaside/Merchant_Ship.jpg
Outpost;Seaside;Action - Duration;$5;You only draw 3 cards for your next hand. Take an extra turn after this one (but not a 3rd turn in a row).;;;;;;;;;;Seaside/Outpost.jpg
Pirate;Seaside, 2E;Action - Duration - Reaction;$5;At the start of your next turn, gain a Treasure costing up to $6 to your hand.When any player gains a Treasure, you may play this from your hand.;**Pself;N (+1);;;;;;N 1;;Seaside_2E/Pirate.jpg
Sea Witch;Seaside, 2E;Action - Duration - Attack;$5;+2 Cards Each other player gains a Curse. At the start of your next turn, +2 Cards, then discard 2 cards.;;+2, N +2, N -2;;;;;1;;;Seaside_2E/Sea_Witch.jpg
Tactician;Seaside;Action - Duration;$5;If you have at least one card in hand: Discard your hand, and at the start of your next turn, +5 Cards, +1 Action, and +1 Buy.;!N +1;-X, !N +5;!N +1;;;;;;;Seaside/Tactician.jpg
Treasury;Seaside;Action;$5;+1 Card +1 Action +$1 At the end of your Buy phase this turn, if you didn't gain a Victory card in it, you may put this onto your deck.;+1;+1;;+$1;;;;;;Seaside/Treasury.jpg
Wharf;Seaside;Action - Duration;$5;Now and at the start of your next turn: +2 Cards and +1 Buy.;;+2, N +2;+1, N +1;;;;;;;Seaside/Wharf.jpg
Transmute;Alchemy;Action;P;Trash a card from your hand. If it is an... Action card, gain a Duchy Treasure card, gain a Transmute Victory card, gain a Gold;;;;;1;;;1;!(3 );Alchemy/Transmute.jpg
Vineyard;Alchemy;Victory;P;Worth 1 per 3 Action cards you have (round down).;;;;;;;;;X;Alchemy/Vineyard.jpg
Herbalist;Alchemy;Action;$2;+1 Buy +$1 Once this turn, when you discard a Treasure from play, you may put it onto your deck.;;;+1;+$1;;;;;;Alchemy/Herbalist.jpg
Apothecary;Alchemy;Action;$2P;+1 Card +1 Action Reveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.;+1;+ 1-5;;;;;;;;Alchemy/Apothecary.jpg
Scrying Pool;Alchemy;Action - Attack;$2P;+1 Action Each player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn’t an Action. Put all of those revealed cards into your hand.;+1;+X;;;;;;;;Alchemy/Scrying_Pool.jpg
University;Alchemy;Action;$2P;+2 Actions You may gain an Action card costing up to $5.;+2;;;;;;;1;;Alchemy/University.jpg
Alchemist;Alchemy;Action;$3P;+2 Cards +1 Action At the start of Clean-up this turn, if you have a Potion in play, you may put this onto your deck.;+1;+2;;;;;;;;Alchemy/Alchemist.jpg
Familiar;Alchemy;Action - Attack;$3P;+1 Card +1 Action Each other player gains a Curse.;+1;+1;;;;;1;;;Alchemy/Familiar.jpg
Philosopher's Stone;Alchemy;Treasure;$3P;Count your deck and discard pile. +$1 per 5 cards total between them (round down).;;;;+$X;;;;;;Alchemy/Philosopher's_Stone.jpg
Golem;Alchemy;Action;$4P;Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.;P1, P1;;;;;;;;;Alchemy/Golem.jpg
Apprentice;Alchemy;Action;$5;+1 Action Trash a card from your hand. +1 Card per $1 it costs. +2 Cards if it has P in its cost.;+1;+X;;;1;;;;;Alchemy/Apprentice.jpg
Possession;Alchemy;Action;$6P;"The player to your left takes an extra turn after this one (but not a 2nd extra turn in a row), in which you can see all cards they can and make all decisions for them. Any cards or D they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn.";;;;;;;;X;;Alchemy/Possession.jpg
Potion;Alchemy;Treasure;$4;P;;;;+$;;;;;;Alchemy/Potion.jpg
Anvil;Prosperity, 2E;Treasure;$3;$1 You may discard a Treasure to gain a card costing up to $4.;;-1?;;+$1;;;;!1;;Prosperity_2E/Anvil.jpg
Loan;Prosperity, 1E;Treasure;$3;$1 Reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.;;;;+$1;1?;;;;;Prosperity_1E/Loan.jpg
Trade Route;Prosperity, 1E;Action;$3;"+1 Buy Trash a card from your hand. +$1 per Coin token on the Trade Route mat.Setup: Add a Coin token to each Victory Supply pile; move that token to the Trade Route mat when a card is gained from the pile.";;;+1;+$X;1;;;;;Prosperity_1E/Trade_Route.jpg
Watchtower;Prosperity;Action - Reaction;$3;Draw until you have 6 cards in hand.When you gain a card, you may reveal this from your hand, to either trash that card or put it onto your deck.;;=6;;;**1?;;;;;Prosperity/Watchtower.jpg
Bishop;Prosperity;Action;$4;+$1 +1 Trash a card from your hand. +1 per $2 it costs (round down). Each other player may trash a card from their hand.;;;;+$1;1;;;;+1 , +X;Prosperity/Bishop.jpg
Clerk;Prosperity, 2E;Action - Reaction - Attack;$4;+$2 Each other player with 5 or more cards in hand puts one onto their deck.At the start of your turn, you may play this from your hand.;Pself;;;+$2;;;;;;Prosperity_2E/Clerk.jpg
Investment;Prosperity, 2E;Treasure;$4;"Trash a card from your hand. Choose one: +$1; or trash this to reveal your hand for +1 per differently named Treasure there.";;;;+$1?;1;;;;+X ?;Prosperity_2E/Investment.jpg
Monument;Prosperity;Action;$4;+$2 +1;;;;+$2;;;;;+1;Prosperity/Monument.jpg
Quarry;Prosperity;Treasure;$4;$1 This turn, Actions cost $2 less.;;;;+$1, !R2;;;;;;Prosperity/Quarry.jpg
Talisman;Prosperity, 1E;Treasure;$4;$1While you have this in play, when you buy a non-Victory card costing $4 or less, gain a copy of it.;;;;+$1;;;;!1;;Prosperity_1E/Talisman.jpg
Tiara;Prosperity, 2E;Treasure;$4;+1 Buy This turn, when you gain a card, you may put it onto your deck. You may play a Treasure from your hand twice.;;;+1;P2?;;;;;;Prosperity_2E/Tiara.jpg
Worker's Village;Prosperity;Action;$4;+1 Card +2 Actions +1 Buy;+2;+1;+1;;;;;;;Prosperity/Worker's_Village.jpg
Charlatan;Prosperity, 2E;Action - Attack;$5;+$3 Each other player gains a Curse.In games using this, Curse is also a Treasure worth $1.;;;;+$3;;;1;;;Prosperity_2E/Charlatan.jpg
City;Prosperity;Action;$5;+1 Card +2 Actions If there are one or more empty Supply piles, +1 Card. If there are two or more, +1 Buy and +$1.;+2;+1, !+1;!+1;!+$1;;;;;;Prosperity/City.jpg
Collection;Prosperity, 2E;Treasure;$5;$2 +1 Buy This turn, when you gain an Action card, +1 .;;;+1;+$2;;;;;+X;Prosperity_2E/Collection.jpg
Contraband;Prosperity, 1E;Treasure;$5;$3 +1 Buy The player to your left names a card. You can’t buy that card this turn.;;;+1;+$3;;;;;;Prosperity_1E/Contraband.jpg
Counting House;Prosperity, 1E;Action;$5;Look through your discard pile, reveal any number of Coppers from it, and put them into your hand.;;+X;;;;;;;;Prosperity_1E/Counting_House.jpg
Crystal Ball;Prosperity, 2E;Treasure;$5;$1 Look at the top card of your deck. You may trash it, discard it, or, if it's an Action or Treasure, play it.;!P1?;;;+$1, !P1?;1?;;;;;Prosperity_2E/Crystal_Ball.jpg
Magnate;Prosperity, 2E;Action;$5;Reveal your hand. +1 Card per Treasure in it.;;+X;;;;;;;;Prosperity_2E/Magnate.jpg
Mint;Prosperity;Action;$5;You may reveal a Treasure card from your hand. Gain a copy of it.When you gain this, trash all non-Duration Treasures you have in play.;;;;;*X;;;1?;;Prosperity/Mint.jpg
Mountebank;Prosperity, 1E;Action - Attack;$5;+$2 Each other player may discard a Curse. If they don’t, they gain a Curse and a Copper.;;;;+$2;;;2?;;;Prosperity_1E/Mountebank.jpg
Rabble;Prosperity;Action - Attack;$5;+3 Cards Each other player reveals the top 3 cards of their deck, discards the revealed Actions and Treasures, and puts the rest back in any order they choose.;;+3;;;;;;;;Prosperity/Rabble.jpg
Royal Seal;Prosperity, 1E;Treasure;$5;$2While you have this in play, when you gain a card, you may put that card onto your deck.;;;;+$2;;;;;;Prosperity_1E/Royal_Seal.jpg
Vault;Prosperity;Action;$5;+2 Cards Discard any number of cards for +$1 each. Each other player may discard 2 cards, to draw a card.;;+2, -X;;+$X;;;;;;Prosperity/Vault.jpg
Venture;Prosperity, 1E;Treasure;$5;$1 Reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.;;;;+$1, P1;;;;;;Prosperity_1E/Venture.jpg
War Chest;Prosperity, 2E;Treasure;$5;The player to your left names a card. Gain a card costing up to $5 that hasn't been named for War Chests this turn.;;;;;;;;1;;Prosperity_2E/War_Chest.jpg
Goons;Prosperity, 1E;Action - Attack;$6;+1 Buy +$2 Each other player discards down to 3 cards in hand.While you have this in play, when you buy a card, +1 .;;;+1;+$2;;;;;+X;Prosperity_1E/Goons.jpg
Grand Market;Prosperity;Action;$6*;+1 Card +1 Action +1 Buy +$2.You can’t buy this if you have any Coppers in play.;+1;+1;+1;+$2;;;;;;Prosperity/Grand_Market.jpg
Hoard;Prosperity;Treasure;$6;$2 This turn, when you gain a Victory card, if you bought it, gain a Gold.;;;;+$2;;;;X;;Prosperity/Hoard.jpg
Bank;Prosperity;Treasure;$7;+$1 per Treasure card you have in play (counting this).;;;;+$X;;;;;;Prosperity/Bank.jpg
Expand;Prosperity;Action;$7;Trash a card from your hand. Gain a card costing up to $3 more than it.;;;;;1;;;1;;Prosperity/Expand.jpg
Forge;Prosperity;Action;$7;Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in $ of the trashed cards.;;;;;X;;;1;;Prosperity/Forge.jpg
King's Court;Prosperity;Action;$7;You may play an Action card from your hand three times.;P3?;;;;;;;;;Prosperity/King's_Court.jpg
Peddler;Prosperity;Action;$8*;+1 Card +1 Action +$1During a player's Buy phase, this costs $2 less per Action card they have in play.;+1;+1;;+$1, RXself;;;;;;Prosperity/Peddler.jpg
Platinum;Prosperity;Treasure;$9;$5;;;;+$5;;;;;;Prosperity/Platinum.jpg
Colony;Prosperity;Victory;$11;10;;;;;;;;;10;Prosperity/Colony.jpg
Hamlet;Cornucopia;Action;$2;+1 Card +1 Action You may discard a card for +1 Action. You may discard a card for +1 Buy.;+1, !+1;+1, -2?;!+1;;;;;;;Cornucopia/Hamlet.jpg
Fortune Teller;Cornucopia, 1E;Action - Attack;$3;+$2 Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.;;;;+$2;;;;;;Cornucopia_1E/Fortune_Teller.jpg
Menagerie;Cornucopia;Action;$3;+1 Action Reveal your hand. If the revealed cards all have different names, +3 Cards. Otherwise, +1 Card.;+1;+1, !+2;;;;;;;;Cornucopia/Menagerie.jpg
Farming Village;Cornucopia, 1E;Action;$4;+2 Actions Reveal cards from your deck until you reveal a Treasure or Action card. Put that card into your hand and discard the rest.;+2;+1;;;;;;;;Cornucopia_1E/Farming_Village.jpg
Horse Traders;Cornucopia, 1E;Action - Reaction;$4;+1 Buy +$3 Discard 2 cards.When another player plays an Attack card, you may first set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.;;-2 *N +1;+1;+$3;;;;;;Cornucopia_1E/Horse_Traders.jpg
Remake;Cornucopia;Action;$4;Do this twice: Trash a card from your hand, then gain a card costing exactly $1 more than it.;;;;;2;;;2;;Cornucopia/Remake.jpg
