Name;Expansion;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;ImagePath;IsLandscape;IsOtherThing;IsInSupply;ParentPile;IsExtendedLandscape;IsPartOfSplitPile;IsRealSupplyCard;village_quality;draw_quality;thinning_quality;gain_quality;attack_quality;altvp_quality;interactivity_quality;village_types;draw_types;thinning_types;gain_types;attack_types;altvp_types;CardAmount;WikiLink;Extra Components;has_extra_components
Swindler;Intrigue;['Action', 'Attack'];$3;+$2 Each other player trashes the top card of their deck and gains a card with the same cost that you choose.;;;;+$2;;;!1;;;Intrigue/Swindler.jpg;False;False;True;;False;False;True;0;0;0;0;3;1;3;[];[];[];[];['Trashing', 'Junking', 'Deck order', 'Scoring'];['Cursing', 'Trashing'];10;https://wiki.dominionstrategy.com/index.php/Swindler;[];False
Wishing Well;Intrigue;['Action'];$3;+1 Card +1 Action Name a card, then reveal the top card of your deck. If you named it, put it into your hand.;+1;+1, !+1;;;;;;;;Intrigue/Wishing_Well.jpg;False;False;True;;False;False;True;0;1;0;0;0;0;0;[];['Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Wishing_Well;[];False
Baron;Intrigue;['Action'];$4;+1 Buy You may discard an Estate for +$4. If you don't, gain an Estate.;;-1?;+1;!+$4;;;;!1;;Intrigue/Baron.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys', 'Specific'];[];[];10;https://wiki.dominionstrategy.com/index.php/Baron;[];False
Bridge;Intrigue;['Action'];$4;+1 Buy +$1 This turn, cards (everywhere) cost $1 less.;;;+1;+$1, R1;;;;;;Intrigue/Bridge.jpg;False;False;True;;False;False;True;0;0;0;3;0;0;0;[];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Bridge;[];False
Conspirator;Intrigue;['Action'];$4;+$2 If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.;!+1;!+1;;+$2;;;;;;Intrigue/Conspirator.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Conspirator;[];False
Coppersmith;Intrigue, 1E;['Action'];$4;Copper produces an extra $1 this turn.;;;;+$X;;;;;;Intrigue_1E/Coppersmith.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Coppersmith;[];False
Diplomat;Intrigue, 2E;['Action', 'Reaction'];$4;+2 Cards If you have 5 or fewer cards in hand (after drawing), +2 Actions.When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.;!+2;+2 **+2, **-3;;;;;;;;Intrigue_2E/Diplomat.jpg;False;False;True;;False;False;True;1;2;0;0;0;0;2;['Special'];['Moat', 'Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Diplomat;[];False
Ironworks;Intrigue;['Action'];$4;Gain a card costing up to $4. If the gained card is an... Action card, +1 Action Treasure card, +$1 Victory card, +1 Card;!+1;!+1;;!+$1;;;;1;;Intrigue/Ironworks.jpg;False;False;True;;False;False;True;0;0;0;3;0;0;0;[];[];[];['Workshop'];[];[];10;https://wiki.dominionstrategy.com/index.php/Ironworks;[];False
Mill;Intrigue, 2E;['Action', 'Victory'];$4;+1 Card +1 Action You may discard 2 cards, for +$2.1;+1;+1, - 0-2?(X);;!+$X;;;;;1;Intrigue_2E/Mill.jpg;False;False;True;;False;False;True;0;0;0;0;0;1;0;[];[];[];[];[];['Plain'];8*;https://wiki.dominionstrategy.com/index.php/Mill;[];False
Mining Village;Intrigue;['Action'];$4;+1 Card +2 Actions You may trash this for +$2.;+2;+1;;!+$2;Self?;;;;;Intrigue/Mining_Village.jpg;False;False;True;;False;False;True;2;0;0;0;0;0;0;['Handsize-neutral'];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Mining_Village;[];False
Scout;Intrigue, 1E;['Action'];$4;+1 Action Reveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.;+1;+ 0-4;;;;;;;;Intrigue_1E/Scout.jpg;False;False;True;;False;False;True;0;1;0;0;0;0;0;[];['Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Scout;[];False
Secret Passage;Intrigue, 2E;['Action'];$4;+2 Cards +1 Action Take a card from your hand and put it anywhere in your deck.;+1;+2, -1;;;;;;;;Intrigue_2E/Secret_Passage.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Secret_Passage;[];False
Courtier;Intrigue, 2E;['Action'];$5;"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +$3; or gain a Gold. The choices must be different.";+1?;;+1?;+$3?;;;;1?;;Intrigue_2E/Courtier.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys', 'Specific'];[];[];10;https://wiki.dominionstrategy.com/index.php/Courtier;[];False
Duke;Intrigue;['Victory'];$5;Worth 1 per Duchy you have.;;;;;;;;;X;Intrigue/Duke.jpg;False;False;True;;False;False;True;0;0;0;0;0;2;0;[];[];[];[];[];['Scaling'];8*;https://wiki.dominionstrategy.com/index.php/Duke;[];False
Minion;Intrigue;['Action', 'Attack'];$5;"+1 Action Choose one: +$2; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.";+1;-X +4 ?;;+$2?;;;;;;Intrigue/Minion.jpg;False;False;True;;False;False;True;0;2;0;0;2;0;1;[];['DTX'];[];[];['Handsize'];[];10;https://wiki.dominionstrategy.com/index.php/Minion;[];False
Patrol;Intrigue, 2E;['Action'];$5;+3 Cards Reveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.;;+ 3-7;;;;;;;;Intrigue_2E/Patrol.jpg;False;False;True;;False;False;True;0;2;0;0;0;0;0;[];['Smithy'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Patrol;[];False
Replace;Intrigue, 2E;['Action', 'Attack'];$5;"Trash a card from your hand. Gain a card costing up to $2 more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.";;;;;1;;!1;1;;Intrigue_2E/Replace.jpg;False;False;True;;False;False;True;0;0;1;1;1;0;2;[];[];['Any', 'Remodel'];['Remodel'];['Junking', 'Scoring'];[];10;https://wiki.dominionstrategy.com/index.php/Replace;['Trash mat'];True
Saboteur;Intrigue, 1E;['Action', 'Attack'];$5;Each other player reveals cards from the top of their deck until revealing one costing $3 or more. They trash that card and may gain a card costing at most $2 less than it. They discard the other revealed cards.;;;;;;;!1;;;Intrigue_1E/Saboteur.jpg;False;False;True;;False;False;True;0;0;0;0;1;1;2;[];[];[];[];['Trashing', 'Deck order'];['Trashing'];10;https://wiki.dominionstrategy.com/index.php/Saboteur;[];False
Torturer;Intrigue;['Action', 'Attack'];$5;+3 Cards Each other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.);;+3;;;;;1?;;;Intrigue/Torturer.jpg;False;False;True;;False;False;True;0;2;0;0;3;1;2;[];['Smithy'];[];[];['Handsize', 'Junking', 'Scoring'];['Cursing'];10;https://wiki.dominionstrategy.com/index.php/Torturer;[];False
Trading Post;Intrigue;['Action'];$5;Trash 2 cards from your hand. If you did, gain a Silver to your hand.;;!(+1);;;2;;;!1;;Intrigue/Trading_Post.jpg;False;False;True;;False;False;True;0;0;2;0;0;0;0;[];[];['Any', 'Remodel*'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Trading_Post;['Trash mat'];True
Tribute;Intrigue, 1E;['Action'];$5;The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an... Action Card, +2 Actions Treasure Card, +$2 Victory Card, +2 Cards;+2Z;+2Y;;+$X;;;;;;Intrigue_1E/Tribute.jpg;False;False;True;;False;False;True;1;1;0;0;0;0;3;['Special'];['Moat'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Tribute;[];False
Upgrade;Intrigue;['Action'];$5;+1 Card +1 Action Trash a card from your hand. Gain a card costing exactly $1 more than it.;+1;+1;;;1;;;1;;Intrigue/Upgrade.jpg;False;False;True;;False;False;True;0;0;2;1;0;0;0;[];[];['Any', 'Remodel'];['Remodel*'];[];[];10;https://wiki.dominionstrategy.com/index.php/Upgrade;['Trash mat'];True
Harem Farm;Intrigue;['Treasure', 'Victory'];$6;$22;;;;+$2;;;;;2;Intrigue/Harem_Farm.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];8*;https://wiki.dominionstrategy.com/index.php/Harem_Farm;[];False
Nobles;Intrigue;['Action', 'Victory'];$6;"Choose one: +3 Cards; or +2 Actions.2";+2?;+3?;;;;;;;2;Intrigue/Nobles.jpg;False;False;True;;False;False;True;2;2;0;0;0;2;0;['Handsize-decreasing'];['Smithy', 'Lab*'];[];[];[];['Plain'];8*;https://wiki.dominionstrategy.com/index.php/Nobles;[];False
Embargo;Seaside, 1E;['Action'];$2;+$2 Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.);;;;+$2;Self;;**1?;;;Seaside_1E/Embargo.jpg;False;False;True;;False;False;True;0;0;0;0;1;1;2;[];[];[];[];['Indirect'];['Cursing'];10;https://wiki.dominionstrategy.com/index.php/Embargo;['Embargo tokens'];True
Haven;Seaside;['Action', 'Duration'];$2;+1 Card +1 Action Set aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.;+1;+1, -1, N +1;;;;;;;;Seaside/Haven.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Haven;[];False
Lighthouse;Seaside;['Action', 'Duration'];$2;+1 Action +$1 At the start of your next turn, +$1. Until then, when another player plays an Attack card, it doesn't affect you.;+1;;;+$1, N +$1;;;;;;Seaside/Lighthouse.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;1;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Lighthouse;[];False
Native Village;Seaside;['Action'];$2;"+2 Actions Choose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.";+2;+X?;;;;;;;;Seaside/Native_Village.jpg;False;False;True;;False;False;True;2;0;0;0;0;0;0;['Handsize-decreasing', 'Handsize-neutral*'];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Native_Village;['Native Village mat'];True
Pearl Diver;Seaside, 1E;['Action'];$2;+1 Card +1 Action Look at the bottom card of your deck. You may put it on top.;+1;+1;;;;;;;;Seaside_1E/Pearl_Diver.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Pearl_Diver;[];False
Ambassador;Seaside, 1E;['Action', 'Attack'];$3;Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.;;;;;0-2?;;!1;;;Seaside_1E/Ambassador.jpg;False;False;True;;False;False;True;0;0;2;0;3;1;2;[];[];['Any'];[];['Junking'];['Cursing'];10;https://wiki.dominionstrategy.com/index.php/Ambassador;['Trash mat'];True
Astrolabe;Seaside, 2E;['Treasure', 'Duration'];$3;Now and at the start of your next turn: $1 +1 Buy;;;+1, N +1;+$1, N +$1;;;;;;Seaside_2E/Astrolabe.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Astrolabe;[];False
Fishing Village;Seaside;['Action', 'Duration'];$3;+2 Actions +$1 At the start of your next turn: +1 Action and +$1.;+2, N +1;;;+$1, N +$1;;;;;;Seaside/Fishing_Village.jpg;False;False;True;;False;False;True;2;0;0;0;0;0;0;['Handsize-decreasing'];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Fishing_Village;[];False
Lookout;Seaside;['Action'];$3;+1 Action Look at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.;+1;;;;1;;;;;Seaside/Lookout.jpg;False;False;True;;False;False;True;0;0;2;0;0;0;0;[];[];['Any'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Lookout;['Trash mat'];True
Monkey;Seaside, 2E;['Action', 'Duration'];$3;Until your next turn, when the player to your right gains a card, +1 Card. At the start of your next turn, +1 Card.;;**+1, N +1;;;;;;;;Seaside_2E/Monkey.jpg;False;False;True;;False;False;True;0;2;0;0;1;0;3;[];['Moat', 'Smithy*'];[];[];['Indirect'];[];10;https://wiki.dominionstrategy.com/index.php/Monkey;[];False
Sea Chart;Seaside, 2E;['Action'];$3;+1 Card +1 Action Reveal the top card of your deck. If you have a copy of it in play, put it into your hand.;+1;+1, !+1;;;;;;;;Seaside_2E/Sea_Chart.jpg;False;False;True;;False;False;True;0;2;0;0;0;0;0;[];['Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Sea_Chart;[];False
Smugglers;Seaside;['Action'];$3;Gain a copy of a card costing up to $6 that the player to your right gained on their last turn.;;;;;;;;1;;Seaside/Smugglers.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;2;[];[];[];['Specific*'];[];[];10;https://wiki.dominionstrategy.com/index.php/Smugglers;[];False
