CSO1;CSO2;Rule
bad_omens;faithful_hound;Putting cards into your discard pile via Bad Omens with a Faithful Hound in your deck does not count as discarding Faithful Hound, so you do not get to react.
bad_omens;patron;If you reveal the cards in your discard pile when you don't have any Coppers, you will get +1 Coffers for each Patron in there as long as it's during an Action phase.
bad_omens;trail;Putting cards into your discard pile via Bad Omens with a Trail in your deck does not count as discarding Trail, so you do not get to react.
bad_omens;tunnel;Putting cards into your discard pile via Bad Omens with a Tunnel in your deck does not count as discarding Tunnel, so you do not get to react.
bad_omens;village_green;Putting cards into your discard pile via Bad Omens with a Village Green in your deck does not count as discarding Village Green, so you do not get to react.
bad_omens;weaver;Putting cards into your discard pile via Bad Omens with a Weaver in your deck does not count as discarding Weaver, so you do not get to react.
ball;gatekeeper;If you gain two cards from the same pile using Ball while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the second.
ball;harbor_village;If you play a card giving only +$1 and use that to remove the -Coin token after playing Harbor Village, you don't get +$1 from Harbor Village as the card didn't produce any $.
band_of_misfits;carpenter;If you play Carpenter using Band of Misfits, you can gain a Carpenter with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;change;If you play Change using Band of Misfits, trashing an appropriate card from your hand, you can gain another Change with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;craftsman;If you play Craftsman using Band of Misfits, you can gain a Craftsman with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;daimyo;If you play Daimyo and then Band of Misfits, which you use to play an Action card from the Supply, the Action card is replayed as Band of Misfits is a Command card.
band_of_misfits;death_cart;If you play Death Cart using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;duplicate;If you play a Duplicate using Band of Misfits, you don't put anything onto your Tavern mat.
band_of_misfits;embargo;If you play Embargo using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;farmers_market;If you play Farmers' Market using Band of Misfits, it stays where it was, and *do* get the effect you would have gotten from trashing it.
band_of_misfits;feast;"If you play Feast using Band of Misfits, it stays where it was, and *do* get the effect you would have gotten from trashing it.
If you play Feast using Band of Misfits, you can gain a Feast with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play)."
band_of_misfits;flagship;If you play Flagship and then Band of Misfits, which you use to play an Action card from the Supply, the Action card is replayed as Band of Misfits is a Command card.
band_of_misfits;groom;If you play Groom using Band of Misfits, you can gain a Groom with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;guide;If you play a Guide using Band of Misfits, you don't put anything onto your Tavern mat.
band_of_misfits;hermit;If you play Hermit using Band of Misfits, you can gain a Hermit with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;inventor;If you play Inventor using Band of Misfits, you can gain a Inventor with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;ironworks;If you play Ironworks using Band of Misfits, you can gain a Ironworks with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;knights;If you play Sir Martin using Band of Misfits, you do not trash it even if you trash an opponent's Knight with it.
band_of_misfits;mining_village;If you play Mining Village using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;pixie;If you play Pixie using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;ratcatcher;If you play a Ratcatcher using Band of Misfits, you don't put anything onto your Tavern mat.
band_of_misfits;raze;If you play Raze using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;remake;If you play Remake using Band of Misfits, trashing an appropriate card from your hand, you can gain another Remake with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;remodel;If you play Remodel using Band of Misfits, trashing an appropriate card from your hand, you can gain another Remodel with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_misfits;tormentor;If you play a Command card such as Band of Misfits as Tormentor, the result will always be the Hex option, as the card in play is the Band of Misfits itself, not the Tormentor.
band_of_misfits;transmogrify;If you play a Transmogrify using Band of Misfits, you don't put anything onto your Tavern mat.
band_of_misfits;treasure_map;If you play Treasure Map using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
band_of_misfits;urchin;If you have played Urchin using Band of Misfits, you will not get to trash it later once playing an Attack card. However, if you play Urchin and later play another Attack card using Band of Misfits, you will still get to trash the Urchin.
band_of_misfits;workshop;If you play Workshop using Band of Misfits, you can gain a Workshop with it (despite Band of Misfits saying 'leaving it there', as this just refers to the card moving into play).
band_of_nomads;city-state;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;innovation;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;rush;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Rush anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;siren;If you gain a Siren and somehow trigger a shuffle by drawing a card using Band of Nomads, you are no longer required to trash an Action card for the Siren to stay in your deck.
band_of_nomads;spell_scroll;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Spell Scroll anymore (but you could choose to resolve the on-gain play first).
bandit;charlatan;If a Bandit reveals a Curse with Charlatan in the kingdom, the Curse (or another non-Copper Treasure) is trashed.
banquet;gatekeeper;If you gain two Coppers using Banquet while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the second.
barge;way_of_the_chameleon;If you play Barge using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Barge.
basilica;marchland;Gaining Marchlands in your Buy phase and discarding at least 2 cards for $ will also give you 2 Basilica VP even if you have $0 prior to gaining them.
basilica;nomads;Gaining a Nomads in your Buy phase will give you $2, and thus also give you 2 Basilica VP even if you have $0 prior to gaining them.
bauble;city-state;When you gain a card, you can decide whether to immediately play it using City-State, or topdeck it using Bauble.
bauble;den_of_sin;If you gain a Den of Sin, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;gatekeeper;If you gain an Action or Treasure that you do not have a copy of in Exile while under the Gatekeeper attack, you can choose to first topdeck it using Bauble, in which case you do not put it into Exile.
bauble;ghost_town;If you gain a Ghost Town, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;guardian;If you gain a Guardian, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;innovation;When you gain a card, you can decide whether to immediately play it using Innovation, or topdeck it using Bauble.
bauble;night_watchman;If you gain a Night Watchman, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;rapid_expansion;When you gain a card while Rapid Expansion is active, you can decide to topdeck it using Bauble instead of setting it aside.
bauble;rush;When you gain a card, you can decide whether to immediately play it using Rush, or topdeck it using Bauble.
bauble;siren;If you gain a Siren and choose to topdeck it using Bauble, you don't need to trash an Action card in order for it to stay in your deck.
bauble;villa;If you gain a Villa, you can decide whether to topdeck it using Bauble, or gain it to your hand. In any case, you will receive +1 Action and return to your Action phase if you're in your buy phase.
beggar;gatekeeper;If you react with a Beggar to a subsequent Attack (not the initial Gatekeeper play) while under the Gatekeeper attack and don't have a Silver in Exile, the first Silver you would gain onto your deck is Exiled, and if you decide to discard it with the second Silver gain, you don't get to have one topdecked. NOTE THAT ON THE TGG CLIENT, THIS IS CURRENTLY IMPLEMENTED THE OTHER WAY AROUND.
beggar;sheepdog;If you react with a Beggar to an Attack, the first Silver you gain is topdecked, so you will draw it if you react with a Sheepdog to the second Silver gain. If you react Sheepdog to the first Silver gain, you draw two cards, topdeck it, and gain the other one to the discard pile, or can react with Sheepdog to the second Silver gain and draw the first one immediately. NOTE THAT ON THE TGG CLIENT, THIS IS CURRENTLY IMPLEMENTED THE OTHER WAY AROUND.
beggar;way_of_the_butterfly;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Butterfly.
beggar;way_of_the_camel;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Camel.
beggar;way_of_the_chameleon;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Chameleon.
beggar;way_of_the_frog;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Frog.
beggar;way_of_the_goat;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Goat.
beggar;way_of_the_horse;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Horse.
beggar;way_of_the_mole;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Mole.
beggar;way_of_the_monkey;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Monkey.
beggar;way_of_the_mouse;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Mouse.
beggar;way_of_the_mule;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Mule.
beggar;way_of_the_otter;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Otter.
beggar;way_of_the_owl;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Owl.
beggar;way_of_the_ox;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Ox.
beggar;way_of_the_pig;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Pig.
beggar;way_of_the_rat;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Rat.
beggar;way_of_the_seal;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Seal.
beggar;way_of_the_sheep;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Sheep.
beggar;way_of_the_squirrel;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Squirrel.
beggar;way_of_the_turtle;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Turtle.
beggar;way_of_the_worm;If you play an Attack card and your opponent reacts with a Beggar, you may then again choose whether to play the Attack normally, or using Way of the Worm.
berserker;colonnade;If you gain a Berserker during your Buy phase and play it immediately, you can take 2 VP from Colonnade.
berserker;gatekeeper;"If your opponent has played Gatekeeper, you gain a Berserker and you don't have a copy of Berserker in Exile, you may choose whether to resolve playing the Berserker or the exiling first; if you play it, it cannot be moved to Exile and vice versa."
berserker;odysseys;On your Voyage turn, when you gain a Berserker, you can (bar some exceptions) play it immediately without that counting towards the three-card limit, even if you have already played three cards from your hand. Exceptions are gain-to-hand effects (like Swap or Sculptor).
black_cat;way_of_the_butterfly;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Butterfly.
black_cat;way_of_the_camel;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Camel.
black_cat;way_of_the_chameleon;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_frog;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_goat;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Goat.
black_cat;way_of_the_horse;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_mole;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_monkey;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
black_cat;way_of_the_mouse;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
black_cat;way_of_the_mule;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
black_cat;way_of_the_otter;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Otter.
black_cat;way_of_the_owl;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Owl.
black_cat;way_of_the_ox;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_pig;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_rat;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Rat.
black_cat;way_of_the_seal;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_sheep;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_squirrel;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Squirrel.
black_cat;way_of_the_turtle;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Turtle.
black_cat;way_of_the_worm;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Worm.
black_market;capitalism;If you have bought Capitalism, you can play a Black Market while playing Treasures for another Black Market. You resolve them recursively, i.e. the three cards of the first Black Market stay out until you have decided to buy (or decline) one of the cards of the second Black Market, and only after that you can buy cards from the first Black Market.
black_market;clashes;Playing Action-Treasures for Black Market is limited by Warlord's attack restriction.
black_market;crown;If Black Market's ability lets you play Treasures in your Action phase, and one of those Treasures is Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
black_market;encampment/plunder;When you play an Encampment that came from the Black Market deck, if you don't reveal a Gold or Plunder, then you set aside the Encampment but since it has no pile to return to, it stays set aside for the rest of the game (it still counts as one of your cards for scoring).
black_market;enlightenment;When Enlightenment is active, playing Treasures using it will provide +1 Card, +1 Action instead of the normal effect (but not use up an Action to play them).
black_market;experiment;If you play an Experiment that was bought from the Black Market deck, you get +2 Cards and +1 Action, but it does not return to a pile and stays in play/in your deck instead. This is because Experiment does not have a pile to return to.
black_market;farmers_market;When you get Farmers' Market from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
black_market;harsh_winter;With Harsh Winter active, no Debt is added or removed to the Black Market deck when buying cards from it, as it is not a pile.
black_market;mission;You cannot buy cards from the Black Market during Mission turns.
black_market;odysseys;Playing Treasures for Black Market during Voyage turn is limited by Voyage's restriction.
black_market;page;When you get Page from the Black Market deck, you cannot exchange it for other Travellers.
black_market;peasant;When you get Peasant from the Black Market deck, you cannot exchange it for other Travellers.
black_market;temple;When you get Temple from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
black_market;way_of_the_horse;If you play a card from the Black Market deck using Way of the Horse, you get +2 Cards and +1 Action, but it does not return to a pile. This is because cards from the Black Market deck do not have a pile to return to.
black_market;wild_hunt;When you get Wild Hunt from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
blessed_village;haunted_woods;If you buy a Blessed Village while under the Haunted Woods attack, you can choose whether to first take a Boon, or whether to first topdeck your hand.
blockade;gatekeeper;If you are under the Gatekeeper attack and gain an Action or Treasure you don't have a copy of in Exile and set it aside using Blockade, you still need to Exile it.
blockade;rapid_expansion;Once Rapid Expansion (RE) is triggered, any Actions or Treasures gained by Blockade will be set aside by RE and thus not truly be Blockaded (you clean up the Blockade during Clean-up).
blockade;siren;If you gain a Siren and set it aside using Blockade, you still need to trash an Action from your hand in order to not trash the Siren.
bonfire;grand_market;"Coppers that were in play earlier in the turn but are removed are not a restriction for buying Grand Market; if you have $9 with two Coppers in play and 2 Buys, you could buy Bonfire, trash the two Coppers, and then buy a Grand Market."
border_village;destrier;Even if a Border Village is the first card you gain this turn, you may gain a Destrier off of it.
borrow;cursed_village;If you have your -1 Card Token on your deck when drawing with Cursed Village, the Token is removed and the number of cards drawn to is the same as stated on Cursed Village as long as you are supposed to draw at least 1 card.
borrow;first_mate;If you have your -1 Card Token on your deck when drawing with First Mate, the Token is removed and the number of cards drawn to is the same as stated on First Mate as long as you are supposed to draw at least 1 card.
borrow;jack_of_all_trades;If you have your -1 Card Token on your deck when drawing with Jack of all Trades, the Token is removed and the number of cards drawn to is the same as stated on Jack of all Trades as long as you are supposed to draw at least 1 card.
borrow;library;If you have your -1 Card Token on your deck when drawing with Library, the Token is removed and the number of cards drawn to is the same as stated on Library as long as you are supposed to draw at least 1 card.
borrow;relic;If the -1 Card token is already on your deck, buying Borrow will not give you +1$. Note that as of 2025-10, this is bugged in the TGG app, and you will get +1$ anyway.
borrow;ronin;If you have your -1 Card Token on your deck when drawing with Ronin, the Token is removed and the number of cards drawn to is the same as stated on Ronin as long as you are supposed to draw at least 1 card.
borrow;siren;If you have your -1 Card Token on your deck when drawing with Siren, the Token is removed and the number of cards drawn to is the same as stated on Siren as long as you are supposed to draw at least 1 card.
borrow;townsfolk;If you have your -1 Card Token on your deck when drawing with Blacksmith, the Token is removed and the number of cards drawn to is the same as stated on Blacksmith as long as you are supposed to draw at least 1 card.
borrow;watchtower;If you have your -1 Card Token on your deck when drawing with Watchtower, the Token is removed and the number of cards drawn to is the same as stated on Watchtower as long as you are supposed to draw at least 1 card.
borrow;way_of_the_owl;If you have your -1 Card Token on your deck when drawing with Way of the Owl, the Token is removed and the number of cards drawn to is the same as stated on Way of the Owl as long as you are supposed to draw at least 1 card.
bridge_troll;harbor_village;If you play a card giving only +$1 and use that to remove the -Coin token after playing Harbor Village, you don't get +$1 from Harbor Village as the card didn't produce any $.
broker;townsfolk;If you play a Broker using Elder, you only trash one card and then get to pick up two options (but not a single option twice) corresponding to the $ of the trashed card.
buried_treasure;mandarin;If you gain a Mandarin and have played Buried Treasure before that, you put it on top of your deck, but the duration effect still persists.
buried_treasure;odysseys;On your Voyage turn, when you gain a Buried Treasure, you can (bar some exceptions) play it immediately without that counting towards the three-card limit, even if you have already played three cards from your hand. Exceptions are gain-to-hand effects (like Sculptor).
cabin_boy;townsfolk;If you play a Cabin Boy using Elder, due to the 'this turn' wording, it does not have an effect on the next turn, so you don't get to both receive +$2 and trash the Cabin Boy for a Duration card.
cabin_boy;way_of_the_chameleon;If you play Cabin Boy using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Cabin Boy.
cache;gatekeeper;If you gain two Coppers using Cache while under the Gatekeeper attack, if you don't already have a copy in Exile, you need to exile the first, but may discard the exiled copy along with the gain of the second.
cage;mandarin;If you gain a Mandarin and have played Cage before that, you put it on top of your deck, but the duration effect still persists.
capital;crypt;If you play Capital and set it aside with Crypt, not get 6D since you did not discard Capital from play.
capital;herbalist;Even if you topdeck Capital using Herbalist's ability, you will still get 6D since you discard it from play.
capital;highwayman;"If you are under Highwayman attack and play Capital as your first Treasure, you do not get +6$ and +1 Buy; however, you will still get 6D when discarding Capital from play."
capital;panic;When discarding Capital from play and Panic is active, you need to return it to its pile and also get +6 Debt.
capital;reckless;[Only if Reckless is on Capital] If Capital is Reckless, you get +$12 and +2 Buys when playing it. When you discard it from play, you get +6 Debt and have to return it to its pile.
capital;trickster;Even if you set aside Capital using Trickster's ability, you will still get 6D since you discard it from play.
capitalism;enlightenment;Once Enlightenment is active, Capitalism will turn all of its targets into cantrips during the Action phase.
capitalism;fishmonger;During your buy phase, you can play Fishmongers from your deck if you have bought Capitalism. [This used to be bugged in the TGG client, let us know if it's resolved!]
capitalism;landing_party;Landing Party/Capitalism---When you play a Capitalized Action as your first card with Landing Parties set aside, you first finish resolving the card played before topdecking the Landing Parties.
capitalism;way_of_the_butterfly;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Butterfly both in your Action and Buy phase.
capitalism;way_of_the_camel;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Camel both in your Action and Buy phase.
capitalism;way_of_the_chameleon;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Chameleon both in your Action and Buy phase.
