Card1;Card2;Rule
band_of_misfits;garrison;If you play a Garrison using Band of Misfits, you can't put tokens on Garrison because it's not in play, and you don't put tokens on Band of Misfits either. This means it won't draw any cards next turn and will be discarded this turn.
band_of_nomads;city-state;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;innovation;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Innovation anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;rush;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Rush anymore (but you could choose to resolve the on-gain play first).
band_of_nomads;siren;If you gain a Siren and somehow trigger a shuffle by drawing a card using Band of Nomads, you still may trash an Action card from you hand, but the Siren will fail to trash itself and it will stay in your deck.
band_of_nomads;spell_scroll;If you gain a card and use Band of Nomads to cause a shuffle, you cannot play it using Spell Scroll anymore (but you could choose to resolve the on-gain play first).
bandit;charlatan;If a Bandit reveals a Curse with Charlatan in the kingdom, the Curse (or another non-Copper Treasure) is trashed.
barge;way_of_the_chameleon;If you play Barge using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Barge.
bauble;den_of_sin;If you gain a Den of Sin, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;ghost_town;If you gain a Ghost Town, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;guardian;If you gain a Guardian, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;night_watchman;If you gain a Night Watchman, you can decide whether to topdeck it using Bauble, or gain it to your hand.
bauble;siren;If you gain a Siren and topdeck it using Bauble, you don't need to trash an Action card in order for it to stay in your deck.
bauble;villa;If you gain a Villa, you can decide whether to topdeck it using Bauble, or gain it to your hand. In any case, you will receive +1 Action and return to you Action phase if you're in your buy phase.
berserker;gatekeeper;"If your opponent has played Gatekeeper, you gain a Berserker and you don't have a copy of Berserker in Exile, you may choose whether to resolve playing the Berserker or the exiling first; if you play it, it cannot be moved to Exile and vice versa."
black_cat;way_of_the_butterfly;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Butterfly.
black_cat;way_of_the_camel;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Camel.
black_cat;way_of_the_chameleon;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_frog;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_goat;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Goat.
black_cat;way_of_the_horse;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_mole;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_monkey;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
black_cat;way_of_the_mouse;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
black_cat;way_of_the_mule;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
black_cat;way_of_the_otter;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Otter.
black_cat;way_of_the_owl;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Owl.
black_cat;way_of_the_ox;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_pig;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
black_cat;way_of_the_rat;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Rat.
black_cat;way_of_the_seal;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_sheep;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
black_cat;way_of_the_squirrel;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Squirrel.
black_cat;way_of_the_turtle;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Turtle.
black_cat;way_of_the_worm;When you react and play Black Cat during another player's turn, you can decide to play it as Way of the Worm.
black_market;crown;If Black Market's ability lets you play Treasures in your Action phase, and one of those Treasures is Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
black_market;encampment;When you play an Encampment that came from the Black Market deck, if you don't reveal a Gold or Plunder, then you set aside the Encampment but since it has no pile to return to, it stays set aside for the rest of the game (it still counts as one of your cards for scoring).
black_market;experiment;If you play an Experiment that was bought from the Black Market deck, you get +2 Cards and +1 Action, but it does not return to a pile. This is because Experiment does not have a pile to return to.
black_market;farmers_market;When you get Farmers' Market from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
black_market;page;When you get Page from the Black Market deck, you cannot exchange it for other Travellers.
black_market;peasant;When you get Peasant from the Black Market deck, you cannot exchange it for other Travellers.
black_market;temple;When you get Temple from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
black_market;way_of_the_horse;If you play a card from the Black Market deck using Way of the Horse, you get +2 Cards and +1 Action, but it does not return to a pile. This is because cards from the Black Market deck do not have a pile to return to.
black_market;wild_hunt;When you get Wild Hunt from the Black Market deck, since there is no pile to gather VP tokens on, the gathering will have no effect.
blockade;rapid_expansion;Once Rapid Expansion (RE) is triggered, any Actions or Treasures gained by Blockade will be set aside by RE and thus not truly be Blockaded (you clean up the Blockade during Clean-up).
blockade;siren;If you gain a Siren and set it aside using Blockade, you still need to trash an Action from your hand in order to not trash the Siren.
border_village;destrier;Even if a Border Village is the first card you gain this turn, you may gain a Destrier off of it.
bridge_troll;harbor_village;If you play a card giving only +$1 and use that to remove the -Coin token after playing Harbor Village, you don't get +$1 from Harbor Village as the card didn't produce any $.
buried_treasure;mandarin;If you gain a Mandarin and have played Buried Treasure before that, you put it on top of your deck, but the duration effect still persists.
cage;mandarin;If you gain a Mandarin and have played Cage before that, you put it on top of your deck, but the duration effect still persists.
capital;highwayman;"If you are under Highwayman attack and play Capital as your first Treasure, you do not get +6$ and +1 Buy; however, you will still get 6D when discarding Capital from play."
capital;panic;When discarding Capital from play and Panic is active, you need to return it to its pile and also get +6 Debt.
capital;reckless;If Capital is Reckless, you get +$12 and +2 Buys when playing it. When you discard it from play, you get +6 Debt and have to return it to its pile.
capitalism;enlightenment;Once Enlightenment is active, Capitalism will turn all of its targets into cantrips during the Action phase.
capitalism;fishmonger;During your buy phase, you can play Fishmongers from your deck if you have bought Capitalism. [This used to be bugged in the TGG client, let us know if it's resolved!]
capitalism;way_of_the_butterfly;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Butterfly both in your Action and Buy phase.
capitalism;way_of_the_camel;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Camel both in your Action and Buy phase.
capitalism;way_of_the_chameleon;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Chameleon both in your Action and Buy phase.
capitalism;way_of_the_frog;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Frog both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_goat;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Goat both in your Action and Buy phase.
capitalism;way_of_the_horse;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Horse both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_mole;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Mole both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_monkey;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Monkey both in your Action and Buy phase.
capitalism;way_of_the_mouse;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Mouse both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_mule;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Mule both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_otter;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Otter both in your Action and Buy phase.
capitalism;way_of_the_owl;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Owl both in your Action and Buy phase.
capitalism;way_of_the_ox;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Ox both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_pig;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Pig both in your Action and Buy phase. Remember that + Actions can't be used during your Buy phase.
capitalism;way_of_the_rat;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Rat both in your Action and Buy phase.
capitalism;way_of_the_seal;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Seal both in your Action and Buy phase.
capitalism;way_of_the_sheep;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Sheep both in your Action and Buy phase.
capitalism;way_of_the_squirrel;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Squirrel both in your Action and Buy phase.
capitalism;way_of_the_turtle;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Turtle both in your Action and Buy phase.
capitalism;way_of_the_worm;Once Capitalism is active, you can choose to play your new-found Action-Treasures as Way of the Worm both in your Action and Buy phase.
caravan_guard;soothsayer;If an opponent plays Soothsayer, you may react with Caravan Guard immediately, and then gain a Curse. Once you're done reacting, you draw a card due to Soothsayer, and if that card is a Caravan Guard, it is too late for you to react with that one.
caravan_guard;way_of_the_butterfly;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Butterfly.
caravan_guard;way_of_the_camel;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Camel.
caravan_guard;way_of_the_chameleon;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Chameleon. Remember that +$ can't normally be used on other player's turns.
caravan_guard;way_of_the_frog;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Frog. Remember that + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_goat;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Goat.
caravan_guard;way_of_the_horse;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Horse. Remember that + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_mole;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Mole. Remember that + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_monkey;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Monkey. Remember that +$ and + Buy can't normally be used on other player's turns.
caravan_guard;way_of_the_mouse;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Mouse. Remember that +$ and + Action and + Buy can't normally be used on other player's turns.
caravan_guard;way_of_the_mule;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Mule. Remember that +$ and + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_otter;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Otter.
caravan_guard;way_of_the_owl;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Owl.
caravan_guard;way_of_the_ox;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Ox. Remember that + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_pig;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Pig. Remember that + Action can't normally be used on other player's turns.
caravan_guard;way_of_the_rat;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Rat.
caravan_guard;way_of_the_seal;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Seal. Remember that +$ can't normally be used on other player's turns.
caravan_guard;way_of_the_sheep;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Sheep. Remember that +$ can't normally be used on other player's turns.
caravan_guard;way_of_the_squirrel;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Squirrel.
caravan_guard;way_of_the_turtle;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Turtle.
caravan_guard;way_of_the_worm;When you react and play Caravan Guard during another player's turn, you can decide to play it as Way of the Worm.
cargo_ship;improve;If you play a Cargo Ship and don't set anything aside with it before your Clean-up phase, Improve can trash it because it's going to be discarded as far as you know at that point. However, trashing a card from play does not negate its instructions, so you can still set aside the card you gain from Improve (or another card you gain that turn) through the instructions of Cargo Ship.
castles;populate;Buying Populate will not gain Castles, even if the Castle on top is an Action card, since they are not an Action supply pile.
catapult/rocks;populate;Buying Populate will gain the top card of the Catapult/Rocks pile, even if it's not an Action card.
cavalry;demand;If you Demand a Cavalry, you will gain a Horse and the Cavalry on top of your deck, then draw them, and return to your Action phase.
cavalry;exploration;When you return to your Action phase using Cavalry, you are ending your Buy phase but gain a card at the same time, so Exploration can't trigger. Exploration can still trigger at the end of a future buy phase.
cavalry;footpad;If you return to your Action phase using Cavalry, you are still gaining the card during the Buy phase, so Footpad's ability doesn't trigger.
cavalry;gatekeeper;If you return to your Action phase using Cavalry, you get to choose whether you first resolve Cavalry or Gatekeeper.
cavalry;hermit;When you return to your Action phase using Cavalry, you are ending your Buy phase but gain a card at the same time, so Hermit can't trigger. Hermit can still trigger at the end of a future buy phase.
cavalry;merchant_guild;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Merchant Guild can trigger.
cavalry;pageant;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Pageant can trigger.
cavalry;river_shrine;You can only gain cards via River Shrine if you didn't gain any cards in any buy phase during your turn. Therefore, you .can never do so after buying Cavalry, even if you don't gain cards in your last buy phase.
cavalry;treasury;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Treasury can trigger.
cavalry;wine_merchant;When you return to your Action phase using Cavalry, you are ending your Buy phase, so Wine Merchant can trigger.
cave_dwellers;clerk;"You may react Clerks both before and after using Favors for Cave Dwellers, but not in-between; you could e.g. react Clerk, use Cave Dwellers two times, and then react another Clerk you've just drawn. After that, you may not use Cave Dwellers again."
change;fisherman;It is occasionally possible for cost reduction to make the gained card cost less $ than the trashed card after gaining. In this case the D incurred is the absolute value of the new $ difference. For example, if you trash a $2 Fisherman and gain a Silver, the Fisherman now costs $5, and you take 2D.
changeling;city-state;If you play a gained card using City-State, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;gondola;When gaining a Gondola, you can both exchange it for a Changeling and make use of its on-gain effect.
changeling;infirmary;If you overpay for an Infirmary and exchange it for a Changeling, you cannot play it and vice versa.
changeling;innovation;If you play a gained card using Innovation, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;rush;If you play a gained card using Rush, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
changeling;sculptor;If you play Sculptor to gain a Treasure and exchange it for a Changeling, will still get the Villager (but the Changeling will be gained to your discard pile).
changeling;silk_merchant;If you gain Silk Merchant and exchange it for a Changeling, will still get the Coffers and Villager (but the Changeling will be gained to your discard pile).
changeling;spell_scroll;If you play a gained card using Spell Scroll, you cannot exchange it for a Changeling afterwards. Conversely, you cannot play it anymore after having exchanged it for a Changeling.
charm;destrier;If you choose the 'Gain Card with same cost' option for two Charms and then gain a Destrier (e.g. costing $6 at that moment), you will first gain another card costing $6, then one costing $5, and then, at last, the Destrier (and Destriers will cost $4). If, after playing Charms, you gain some other card costing $6, you may gain a Destrier costing $6, but only once as it will cost $1 less afterwards.
charm;spell_scroll;When you play a Charm by gaining it via Spell Scroll and choose the 'gain another card' option, you will not gain another $5 cost card due to its 'Next Time' wording. Instead, you'll gain a differently named card with the same cost for the next card you gain.
cheap;plateau_shepherds;If Cheap is assigned to a card initially costing $3, it becomes a $2 cost card as far as Plateau Shepherds (PS) is concerned. Conversely, a card reduced to costing $1 due to Cheap will not be eligible for PS anymore.
city-state;crafters_guild;When you gain a card using Crafter's Guild and immediately play it using City-State, you will not be able to topdeck it.
city-state;demand;When you gain a card using Demand and immediately play it using City-State, you will not be able to topdeck it.
city-state;develop;When you gain a card using Develop and immediately play it using City-State, you will not be able to topdeck it.
city-state;duplicate;When you gain Duplicate and play it immediately using City-State, you may call it directly to gain another copy of it.
city-state;footpad;If you gain a card and use Footpad to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;galleria;"When you gain a cost-reducing card (like Highway, Bridge, or Inventor) and play it immediately using City-State after having played a Galleria, the card's cost before the gain will determine whether you get +Buy (e.g. you won't get +Buy if Highway costs $5 before gaining and playing it).
On the other hand, if you gain a Galleria and play it immediately using City-State, you will get +Buy from the Galleria gain if you have reduced its cost to $3 or $4 prior to the gain."
city-state;gatekeeper;"If your opponent has played Gatekeeper, you gain a card and you don't have a copy of the gained card in Exile, you may choose whether to resolve City-State or the exiling first; if you play the gained card, it cannot be moved to Exile and vice versa."
city-state;graverobber;When you gain a card using Graverobber and immediately play it using City-State, you will not be able to topdeck it.
city-state;guildmaster;When you gain a Guildmaster and play it immediately using City-State, you receive a Favor from its gain.
city-state;haggler;When you buy and gain a Haggler and play it immediately using City-State, you will gain a card costing less than it.
city-state;hill_fort;If you gain a card and use Hill Fort to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;improve;You can play cards you gain via an Improve trash using City-State during your Clean-up phase. This might lead to weird effects such as Encampment immediately returning to its pile, and Crown being useless.
city-state;infirmary;When you overpay for Infirmary, you choose between the effect of the overpay and City-State triggering. If you choose City-State, Infirmary's overpay will be unable to play itself any number of times (because Infirmary already moved). City-State will also be unable to play Infirmary if you choose the overpay first, for the same reason.
city-state;invasion;When you gain a card using Invasion and immediately play it using City-State, you will not be able to topdeck it.
city-state;kiln;When you gain a Kiln and play it immediately using City-State, you will not be able to gain another Kiln due to its 'Next Time' wording. Instead, the next card you play will be subject to its effect.
city-state;livery;When you gain a Livery and play it immediately using City-State, you gain a Horse from its gain.
city-state;search;When you gain the last Search and play it immediately using City-State, it will not be trashed and you will not gain a Loot due to its 'Next Time' wording. [This used to be bugged in the TGG client, let us know if it's resolved!]
city-state;sheepdog;If you gain a card and use Sheepdog to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
city-state;siren;If you gain a Siren and use City-State to play the Siren, Siren no longer requires you to trash an action card from your hand in order to not trash the Siren.
city-state;skirmisher;When you gain a Skirmisher and play it immediately using City-State, its effect will trigger, causing your opponents to discard.
city-state;sycophant;You can immediately use the Favors from gaining Sycophant to play it using City-State.
city-state;trail;If you gain a card and use Trail to cause a shuffle, you cannot play it using City-State anymore (but you could choose to resolve the on-gain play first).
clashes;populate;Buying Populate will gain the top card of the Clashes pile, even if it's not an Action card.
clerk;desert_guides;"You may react Clerks both before and after using Favors for Desert Guides, but not in-between; you could e.g. react Clerk, use Desert Guides two times, and then react another Clerk you've just drawn. After that, you may not use Desert Guides again."
clerk;guide;"You may arbitrarily order reacting Clerks and calling Guides at the start of your turn; you could e.g. react a Clerk, call Guide, react another two Clerks that you've just drawn, and call another Guide."
cobbler;gatekeeper;If you gain a card and put it in your hand using Cobbler while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
cobbler;sheepdog;If you gain a Sheepdog to your hand using Cobbler, you can immediately react to its own gain and play it.
cobbler;siren;If you gain a Siren and put it in your hand using Cobbler, you still need to trash an Action from your hand in order to not trash the Siren.
coin_of_the_realm;highwayman;Calling Coin of the Realm from your Tavern mat will work and provide +2 Actions even if you are affected by the Highwayman attack because you don't *play* it there.
conspirator;reckless;A Reckless card is not played twice as far as Conspirator is concerned. That means if you e.g. Reckless were on Conspirator and you would play it as the second Action this turn, you would only get +$4, not +$4 and +1 Card, +1 Action.
continue;exploration;When you return to your Action phase using Continue, you are ending your Buy phase but gain a card at the same time, so Exploration can't trigger. Exploration can still trigger at the end of a future buy phase.
continue;footpad;If you return to your Action phase using Continue, you are still gaining the card during the Buy phase, so Footpad's ability doesn't trigger.
continue;gatekeeper;If you return to your Action phase using Continue, you get to choose whether you first resolve Continue or Gatekeeper.
continue;hermit;When you return to your Action phase using Continue, you are ending your Buy phase but gain a card at the same time, so Hermit can't trigger. Hermit can still trigger at the end of a future buy phase.
continue;merchant_guild;When you return to your Action phase using Continue, you are ending your Buy phase, so Merchant Guild can trigger.
continue;pageant;When you return to your Action phase using Continue, you are ending your Buy phase, so Pageant can trigger.
continue;progress;When you buy Continue when Progress is active, you have to topdeck the gained card and won't be able to play it.
continue;river_shrine;You can only gain cards via River Shrine if you didn't gain any cards in any buy phase during your turn. Therefore, you .can never do so after buying Continue, even if you don't gain cards in your last buy phase.
continue;treasury;When you return to your Action phase using Continue, you are ending your Buy phase, so Treasury can trigger.
continue;wine_merchant;When you return to your Action phase using Continue, you are ending your Buy phase, so Wine Merchant can trigger.
contract;mandarin;If you gain a Mandarin and have played Contract before that, you put it on top of your deck, but the duration effect still persists.
coronet;crown;If Coronet's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
coronet;enchantress;If Enchantress affects Coronet played in a Buy phase, its player gets +1 Card +1 Action, but has no way to use the +1 Action, since it is their Buy phase (but it might matter e.g. if the player buys Villa).
coronet;enlightenment;If Enlightenment is active, Coronet's Action phase mode is overwritten by Enlightenment.
coronet;way_of_the_butterfly;When you play Coronet, you can still decide to play it as Way of the Butterfly, whether you are in your Action or in your Buy phase.
coronet;way_of_the_camel;When you play Coronet, you can still decide to play it as Way of the Camel, whether you are in your Action or in your Buy phase.
coronet;way_of_the_chameleon;When you play Coronet, you can still decide to play it as Way of the Chameleon, whether you are in your Action or in your Buy phase.
coronet;way_of_the_frog;When you play Coronet, you can still decide to play it as Way of the Frog, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_goat;When you play Coronet, you can still decide to play it as Way of the Goat, whether you are in your Action or in your Buy phase.
coronet;way_of_the_horse;When you play Coronet, you can still decide to play it as Way of the Horse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_mole;When you play Coronet, you can still decide to play it as Way of the Mole, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_monkey;When you play Coronet, you can still decide to play it as Way of the Monkey, whether you are in your Action or in your Buy phase.
coronet;way_of_the_mouse;When you play Coronet, you can still decide to play it as Way of the Mouse, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_mule;When you play Coronet, you can still decide to play it as Way of the Mule, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_otter;When you play Coronet, you can still decide to play it as Way of the Otter, whether you are in your Action or in your Buy phase.
coronet;way_of_the_owl;When you play Coronet, you can still decide to play it as Way of the Owl, whether you are in your Action or in your Buy phase.
coronet;way_of_the_ox;When you play Coronet, you can still decide to play it as Way of the Ox, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_pig;When you play Coronet, you can still decide to play it as Way of the Pig, whether you are in your Action or in your Buy phase. Remember that + Actions can't be used during your Buy phase.
coronet;way_of_the_rat;When you play Coronet, you can still decide to play it as Way of the Rat, whether you are in your Action or in your Buy phase.
coronet;way_of_the_seal;When you play Coronet, you can still decide to play it as Way of the Seal, whether you are in your Action or in your Buy phase.
coronet;way_of_the_sheep;When you play Coronet, you can still decide to play it as Way of the Sheep, whether you are in your Action or in your Buy phase.
coronet;way_of_the_squirrel;When you play Coronet, you can still decide to play it as Way of the Squirrel, whether you are in your Action or in your Buy phase.
coronet;way_of_the_turtle;When you play Coronet, you can still decide to play it as Way of the Turtle, whether you are in your Action or in your Buy phase.
coronet;way_of_the_worm;When you play Coronet, you can still decide to play it as Way of the Worm, whether you are in your Action or in your Buy phase.
courier;crown;If Courier's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
crafters_guild;den_of_sin;If you gain a Den of Sin using Crafter's Guild, it is topdecked instead of being gained to your hand.
crafters_guild;ghost_town;If you gain a Ghost Town using Crafter's Guild, it is topdecked instead of being gained to your hand.
crafters_guild;guardian;If you gain a Guardian using Crafter's Guild, it is topdecked instead of being gained to your hand.
